teams	1
242	242	3	WUST_Acmer(WUST_Acmer)	Wuhan University of Science and Technology	WUST	CHN
244	244	3	我想静静(skrskrskr)	Wuhan Business University	WBU	CHN
250	250	3	N3RDS(N3RDS)	Xi'an University of Architecture and Technology	XAUAT	CHN
237	237	3	荠菜(Vegetable of Tongji)	Tongji University	TJU	CHN
350	350	3	my home is in mine(my home is in mine)	China University of Mining and Technology	CUMT	CHN
360	360	3	ALPC_For_People(ALPC_For_People)	National University of Defense Technology	NUDT	CHN
160	160	3	无响应(No Response)	Nanjing University	NJU	CHN
374	374	3	欧锦神(CQUPT_OJS)	Chongqing University of Posts and Telecommunications	CQUPT	CHN
379	379	8	西工大附中(XGDFZ)	The Middle School Attached To Northwestern Polytechnical University	NPUMS	CHN
378	378	8	哇呜～～超凶的(QAQ)	Nanjing University of Aeronautics and Astronautics		CHN
257	257	3	滑稽(freshmanPro)	Xi'an University of Science and Technology	XUST	CHN
31	031	3	格雷科技(Gregtech)	Beijing University of Posts and Telecommunications	BUPT	CHN
259	259	3	只有一个单身狗(only one single dog)	Xi'an University of Technology		CHN
264	264	3	糖糖真好吃(I love Candy)	Xi'an University of Posts and Telecommunications	XUPT	CHN
267	267	3	带带鸡尾酒(carry cocktail)	Northwest University		CHN
311	311	3	不看晕针(FineFineFine)	Zhejiang University City College		CHN
314	314	3	忒修斯之船(aveFunny)	Ningbo Institute of Technology, ZJU	NIT	CHN
66	066	3	艾斯易悠(SEULowbee)	Southeast University, China	SEU	CHN
317	317	3	浙江工商大学TJP学院(koi TJP)	Zhejiang Gongshang University		CHN
17	017	9	猜歌群(GUESS SONGS)	Beijing Jiaotong University	Beijing Jiaotong U	CHN
152	152	3	捏你小肥脸(MNNU_ACM)	Minnan Normal University	Minnan Normal Univer	CHN
310	310	3	Reconquista(Reconquista)	Zhejiang University	Zhejiang U	CHN
171	171	3	从零开始(NJUPT_Re:0)	Nanjing University of Posts and Telecommunications		CHN
32	032	3	辣个蓝人(NaN)	Beijing University of Posts and Telecommunications	BUPT	CHN
14	014	3	比宇宙更远的地方(TooFarTooClose)	Beihang University	BUAA	CHN
248	248	3	时光飞逝(Time is fast)	Xidian University	Xidian U	CHN
243	243	3	北风(Norw)	Wuhan University of Technology	WHUT	CHN
258	258	3	我被打了，我是弟弟(I was beaten.I'm little brother)	Xi'an University of Science and Technology	XUST	CHN
41	041	3	害羞幽灵(ShameGhost)	Dalian University of Technology	DLUT	CHN
165	165	3	QAQ(QAQ)	Nanjing University of Aeronautics and Astronautics		CHN
290	290	3	Rescue the Mushroom!(Rescue the Mushroom!)	Hong Kong University of Science and Technology	HKUST	HKG
260	260	3	红橙相伴(red orange company)	Xi'an University of Technology		CHN
284	284	3	Siry，准备好了吗(Siry R U Ready)	SouthWest Minzu University		CHN
49	049	3	UESTC_Vici(UESTC_Vici)	University of Electronic Science and Technology of China	UESTC	CHN
127	127	3	道生一，一生二，二生三，三生万物(One,Two,Three,AK)	East China Normal University	ECNU	CHN
345	345	3	中科大八队(USTC_8)	University of Science and Technology of China	Univ. of Sci. & Tech	CHN
79	079	3	最后的波纹(The Last Ripple)	Fudan University	Fudan U	CHN
255	255	3	西安滑稽坦克红太阳(XHT Red Sun)	Xi'an Jiaotong University	XJT U	CHN
275	275	3	对不对对对对(duibuduiduiduidui)	Northwest A&F University		CHN
286	286	3	性感程序员，在线过题(Sexy coder,online ac)	Southwest Petroleum University	SWPU	CHN
370	370	3	中山大学_领航者(SYSU_navigator)	Zhongshan (Sun Yat-sen) University	Zhongshan U	CHN
295	295	3	自由之翼(XTU_Wings of Liberty)	Xiangtan University		CHN
300	300	3	嘤嘤嘤(ying ying ying)	Chang'an University	CHD	CHN
